dataset	lineage	fine_type	n_cells	n_donors	annotation_confidence_mean	n_below_confidence_threshold	dataset_support_within_lineage	found_in_one_dataset	poor_donor_coverage	poor_mean_confidence	marker_expression_sanity	marker_expression_note
aidav2	B cells	Age-associated B cells	3551	560	0.9425400571535406	502	4	False	False	False	not_evaluated	Requires a lineage-specific expression matrix and approved marker panel
aidav2	B cells	Memory B cells	40448	624	0.9380529686680152	5963	5	False	False	False	not_evaluated	Requires a lineage-specific expression matrix and approved marker panel
aidav2	B cells	Naive B cells	41968	623	0.985073694068877	1473	5	False	False	False	not_evaluated	Requires a lineage-specific expression matrix and approved marker panel
aidav2	CD4_like	Regulatory T cells	11532	621	0.9822102835170072	732	5	False	False	False	not_evaluated	Requires a lineage-specific expression matrix and approved marker panel
aidav2	CD4_like	Tcm/Naive helper T cells	273758	625	0.9822293130578904	16318	5	False	False	False	not_evaluated	Requires a lineage-specific expression matrix and approved marker panel
aidav2	CD4_like	Tem/Effector helper T cells	70625	624	0.9440619636921492	14691	5	False	False	False	not_evaluated	Requires a lineage-specific expression matrix and approved marker panel
aidav2	CD8_like	Tcm/Naive cytotoxic T cells	100875	624	0.989704587056418	3199	5	False	False	False	not_evaluated	Requires a lineage-specific expression matrix and approved marker panel
aidav2	CD8_like	Tem/Temra cytotoxic T cells	102762	622	0.9706927268787716	10628	5	False	False	False	not_evaluated	Requires a lineage-specific expression matrix and approved marker panel
aidav2	CD8_like	Tem/Trm cytotoxic T cells	42421	623	0.9617360600623668	6055	5	False	False	False	not_evaluated	Requires a lineage-specific expression matrix and approved marker panel
aidav2	DC	DC1	734	334	0.9567510906365664	69	3	False	False	False	not_evaluated	Requires a lineage-specific expression matrix and approved marker panel
aidav2	DC	DC2	10066	568	0.9621138326286456	1005	5	False	False	False	not_evaluated	Requires a lineage-specific expression matrix and approved marker panel
aidav2	Monocytes	Classical monocytes	223979	625	0.974811289102785	13892	5	False	False	False	not_evaluated	Requires a lineage-specific expression matrix and approved marker panel
aidav2	Monocytes	Non-classical monocytes	49003	612	0.982637252429907	2124	5	False	False	False	not_evaluated	Requires a lineage-specific expression matrix and approved marker panel
aidav2	NK_ILC	CD16+ NK cells	150720	624	0.9572775654795236	14653	5	False	False	False	not_evaluated	Requires a lineage-specific expression matrix and approved marker panel
aidav2	NK_ILC	NK cells	5954	599	0.5117281017799364	4841	5	False	False	True	not_evaluated	Requires a lineage-specific expression matrix and approved marker panel
aidav2	NK_ILC	Tem/Temra cytotoxic T cells	3833	363	0.918574648711362	804	2	False	False	False	not_evaluated	Requires a lineage-specific expression matrix and approved marker panel
aidav2	T_others	CD16+ NK cells	516	65	0.7481947270635538	231	4	False	False	False	not_evaluated	Requires a lineage-specific expression matrix and approved marker panel
aidav2	T_others	Classical monocytes	779	250	0.6009262547485944	490	1	True	False	True	not_evaluated	Requires a lineage-specific expression matrix and approved marker panel
aidav2	T_others	ILC3	408	248	0.6712535083374515	250	2	False	False	True	not_evaluated	Requires a lineage-specific expression matrix and approved marker panel
aidav2	T_others	MAIT cells	31985	623	0.9111056232374536	5654	5	False	False	False	not_evaluated	Requires a lineage-specific expression matrix and approved marker panel
aidav2	T_others	Regulatory T cells	601	347	0.4508956373072918	601	5	False	False	True	not_evaluated	Requires a lineage-specific expression matrix and approved marker panel
aidav2	T_others	Tcm/Naive cytotoxic T cells	3413	548	0.396233739347633	3413	5	False	False	True	not_evaluated	Requires a lineage-specific expression matrix and approved marker panel
aidav2	T_others	Tcm/Naive helper T cells	12538	622	0.455020830678307	12538	5	False	False	True	not_evaluated	Requires a lineage-specific expression matrix and approved marker panel
aidav2	T_others	Tem/Effector helper T cells	12857	612	0.4519962160892525	12857	5	False	False	True	not_evaluated	Requires a lineage-specific expression matrix and approved marker panel
aidav2	T_others	Tem/Temra cytotoxic T cells	11774	612	0.4114632113848126	11774	5	False	False	True	not_evaluated	Requires a lineage-specific expression matrix and approved marker panel
aidav2	T_others	Tem/Trm cytotoxic T cells	8928	598	0.3825298999951003	8928	5	False	False	True	not_evaluated	Requires a lineage-specific expression matrix and approved marker panel
aidav2	pDC	pDC	3864	453	0.9999029411664596	1	5	False	False	False	not_evaluated	Requires a lineage-specific expression matrix and approved marker panel
immuneindonesia	B cells	Age-associated B cells	6763	172	0.8040525308585789	2737	4	False	False	False	not_evaluated	Requires a lineage-specific expression matrix and approved marker panel
